순번,Q,A
11178,음탐부표,"청음기와 무선송신기를 내장하여 음향신호를 수집하고 수집한 신호를 무선주파수로 변환하여 송신하는 부표를 가리킨다. 대잠전에서 잠수함의 탐색 및 위치파악을 위해 사용되며, 해저의 소음 및 음향전파 상황을 파악하거나 해저의 탐사 등에 쓰이기도 한다. 음향신호를 수집하는 방식에 따라 잠수함 등으로부터 발생하는 음향진동을 포착하는 수동형과, 직접 초음파를 발사하여 그 반사파로 목표물을 포착하는 능동형으로 나뉘는데, 잠수함에 대해 사용될 경우 둘 모두 잠수함과 그 진행 방향에 대한 탐지가 가능하며, 능동형의 경우 반사파를 이용하여 잠수함까지의 거리를 측정하는 것도 가능하다. 닻의 유무에 따라 닻을 이용하여 투하지역에 계류되는 것과 닻 없이 바람이나 파도, 해류 등의 움직임에 따라 표류하는 것으로 나뉘어지기도 한다. 대잠초계기나 대잠헬기 등에서 해상으로 투하된다."
11225,음향기뢰,"감응방식에 따른 감응기뢰의 분류 중 한 가지. 함선에서 발생하는 엔진이나 스크류의 소음, 선체와 물의 마찰에서 발생하는 소음, 기타 각종 기기의 작동소음 등 함정이 움직일 때 발생하게 되는 수중음향을 감지하여 폭발하는 기뢰를 가리킨다. 자기기뢰 등과는 달리 목조선에도 효과를 발휘할 수 있다. 함정에서 발생하는 소음은 함정의 크기 및 형태, 엔진의 출력, 부하 및 수심, 스크류의 수와 모양 등 각 함정의 특징에 따라 매우 다양한 형태를 지니게 되는데, 음향기뢰는 특수한 음향센서(하이드로폰)을 이용하여 수집되는 각종 수중음향을 비교 분석하여 음향의 발신원이 함정인가 아닌가를 판단하여 폭발 여부를 결정한다. 이 중에는 감응폭발을 유도하기 위하여 소해장비를 통해 발생시키는 모의 음향신호를 판별하는 기능을 가진 종류도 있다."
11381,이중선체,"1. 선박 내에 종횡으로 격벽을 설치하여 침수를 방지하는 목적으로 사용되는 선체구조를 가리킨다. 바닥을 이중으로 만드는 이중저와 선체 측면을 이중으로 만드는 이중선측으로 구분된다. 1989년의 1989년 엑슨 발데즈(Exxon Valdez)호 사고로 인한 유류유출 이후 국제해사기구에서는 유류유출사고 및 그로 인한 피해를 막기 위하여 일정 크기 이상의 유조선에는 이중선체 또는 이와 동등 이상의 구조를 갖추도록 의무화시켰으며, 현재 벌크선에도 이러한 규정을 확대할 움직임을 보이고 있다.  2. 1개의 압력선체 외부에 전체적으로 또 다른 1개의 비압력선체가 쌓여져 이루어진 잠수함 구조를 가리킨다."
11385,이지스 무기체계,"1970년대 후반 미국 록히드 마틴 사에서 개발한 함정용의 함대방공 전투체계를 가리킨다. 컴퓨터, 레이더, 미사일을 종합한 무기체계로, 공중 및 수상표적에 대한 탐지, 추적, 격파를 자동으로 실시할 수 있으며, 다수의 목표에 대한 동시추적 및 동시요격이 가능하다. 또한 이지스함의 자체 미사일이 모두 소진되어을 경우 주변 다른 함정의 대공무기체계를 조종하여 대공임무를 수행하는 합동교전능력도 지니고 있다. 현재 이지스함은 항공위협에 대하여 최대 200여개의 목표에 대한 추적 및 18개 목표와의 동시교전이 가능하며, 최대 교전거리는 항공기의 경우 탐지, 식별, 추적은 480km 거리에서부터, 격추는 이지스체계에 사용되는 스탠더드 미사일의 최대사거리(블럭 2의 경우 70km) 내에서부터 가능하며, 시 스키밍 방식의 대함미사일은 이러한 형식의 대함미사일이 수평선 위로 떠오르게 되는 40km 지점부터 탐지 및 요격이 가능하다. 이지스 무기체계는 전역미사일방어체계에도 이용될 수 있다."
11455,인공위성 항법체계,"미국에서 개발하여 전세계적으로 사용되는 인공위성을 이용한 위치측정 및 항법지원시스템을 가리킨다. 이는 미국 정부가 1970년대 초반부터 개발에 착수하여 약 60억불의 예산을 투자하여 구축하였으며, 지상, 해상, 공중 등 지구상의 어느 곳에서나 시간 제약 없이 인공위성에서 발신하는 정보를 수신하여 정지 또는 이동체의 위치를 측정할 수 있도록 하는 전천후 위치측정 시스템이다. 초기에는 군사목적으로 개발되었으나, GPS 신호의 일부를 민간인이 사용할 수 있도록 하는 것을 전제로 미의회가 예산을 승인하게 되어 GPS 신호 중 L1, C/A 코드는 민간인에게도 개방되었다.(군용으로는 P코드가 사용된다.) 냉전종식에 따라 급속도로 민간사용 영역이 확장되었는데, 초기에 미국은 다른 국가들이 이 기술을 군사목적으로 사용할 것을 우려해 고의적인 오차요인인 방해전파를 쏘아 왔다. 그러나 2001년 5월 1일 자정을 기하여 클린턴 행정부가 이러한 이용제한 요인을 철폐함에 따라 다양한 분야에서 GPS기술이 적용되기 시작하였다. 이 시스템은 인공위성군, 지상제어국, 사용자의 3부분으로 구성되어 있는데, 인공위성군은 6개 궤도에 실용위성 21개와 예비위성 3개로 총 24개 위성으로 구성되어 있으며, 6개 궤도면에 4개씩의 위성이 배치되는 형태로 이루어져 있다. 각 위성은 세슘 원자시계 2개 및 루비듐 원자시계 2개를 탑재하고 있다. 지상제어국은 4개의 무인 제어국과 콜로라도 스프링스에 위치한 주제어국의 5개로 이루어져 있으며, 위성에서 송신되는 신호의 품질점검 위성에 탑재된 기기의 동작점검, 위성궤도의 추적 등을 행한다. 주제어국은 무인 제어국과 달리 위성궤도 수정 및 사용불능 위성을 예비 위성으로 교체하는 업무를 담당한다. 사용자는 수신기를 보유하고 관련 시스템 및 소프트웨어를 이용하여 정보를 얻는다."
11463,인도인접,징집이나 소집에 의하여 현역에 편입할 자나 응소한 예비군으로 입영할 자를 지방병무청장이 파견한 인도관과 입영부대의 장이 파견한 인접관이 보충선에서 상호 인계인수하는 것을 말한다
11493,인원동원,"동원령에 의해 이루어지는 동원활동 중 인원에 관한 것을 통칭하는 것. 크게 병력동원과 전시근로소집, 기술인력동원으로 나뉘어진다. 병력동원은 전시, 사변 또는 동원령 선포시 군부대 확장(증편 또는 창설)이나 손실보충에 소요되는 병력을 병역법에 의하여 동원하는 것을 가리키며, 병역법 제 46조를 법적 근거로 삼고 있다. 동원 대상은 예비역, 교육소집을 마친 보충역, 병역법 제 66조의 규정에 의하여 보충역에 편입된 자이다. 전시 근로 소집은 군의 군사작전 지원에 필요한 인력을 적기에 획득 운용하고, 필요시에는 전투요원으로 활용하기 위하여 대상인원을 소집하는 것을 가리킨다. 법적 근거는 병역법 제 53조와 동시행령 제105조이며, 대상은 20-40세까지의 방위소집이 면제된 보충역 및 20-40세까지의 제 2국민역이다. 기술인력동원은 부대 편제인원(현역, 군무원 직위 제외)으로 임무수행이 곤란한 직위에 국가 기술자를 전시자원동원에 관한 법률에 의하여 동원하는것을 말한다. 법적 근거는 평시는 비상대비자원관리법에 의거 인력동원 자원관리, 인력동원 계획수립, 인력동원훈련 등을 행정자치부에서 주관하며, 전시에는 충무2종 사태시 전시대기법(전시자원동원에 관한 법률안, 시행령안)을 대통령 긴급명령 또는 국회 의결후 시행한다. 대상은 국가기술자격 및 면허취득자, 과학기술자 및 문화예술인으로서 20-60세의 대한민국 국민인 자이다."
11494,인원수송장갑차,"소화기 및 파편에 대한 방어력을 갖추고 보병 병력을 수송하는 장갑차량을 가리킨다. 보병 없이 전차부대만이 전진해서는 전과를 확실히 할 수 없고 고립되기 쉽기 때문에 보병에 전차와 같은 수준의 기동력을 부여하여 전차의 활동을 지원한다는 발상에 의해 만들어졌다. 탑승한 보병의 안전을 위해 보병용 소화기나 기관총, 포탄 파편에 대한 방어력을 가지며, 전장도착 후 전개하는 보병에 화력지원을 해 주거나 자체방어를 하기 위한 목적으로 1-2정의 기총을 장비하고 있는 것이 일반적이다. 대개 1개 분대 정도의 병력을 수송할 수 있으며, 특수한 경우 탑승한 보병이 해치를 열고 자신의 보유무기를 사용할 수 있지만 기본적으로 탑승한 보병은 전개 전까지 전투행동을 할 수 없기 때문에 전장의 택시라 불리기도 한다. 한국군에서 운용하는 것으로는 월남전에서 대량 사용되었던 M113계열 장갑차가 대표적이다."
11558,인해전술,"인명피해를 크게 고려하지 않고 계속적으로 인원을 투입하여 파상적인 공격을 통해 상대를 압도하는 전술을 가리킨다. 통상적으로 공격부대가 상대에 비하여 압도적인 병력상의 우위를 점하고 있는 경우에 공격작전의 한 가지로 사용되는 것이 일반적이며, 지형이나 장비와 같은 일시적인 전술적 열세를 병력의 우위로 메꾸게 된다. 압도적인 병력으로 쉬지 않고 파상공격을 가하여 적의 방어의지를 약화시키고 전 전선에 대하여 수많은 돌파구를 동시다발적으로 형성하여 각 돌파구에서 개별적으로 돌파, 포위, 침투를 행하는 과정을 통해 적의 방어지역을 분단 및 고립시켜 적 방어부대를 압도한다. 러일전쟁 시기의 뤼순(順)공방전에서 노기(乃木) 장군의 일본군 제 3군이 행했던 돌격작전이나 제 2차 세계대전 당시 소련군이 독일군에 대하여 사용했던 제파공격 전술이 대표적인 인해전술의 예라 할 수 있다"
11610,일반참모,"부여받은 업무분야에 대한 지휘관의 주무참모를 가리킨다. 전문적, 기술적인 분야를 담당하는 특별참모와 대비되는 단어로서, 인사, 정보, 작전, 군사, 민사 등을 종합적으로 담당한다. 각 일반참모는 맡은 분야에서 부대의 활동을 계획, 조정, 통제 및 감독함과 더불어 참모 상호간에 업무의 유기적인 협조를 행함으로써 지휘관의 책무를 보좌하며, 부대가 효율적으로 운용될 수 있도록 노력을 통합한다"
11621,일익포위,"포위형태의 한 가지로서, 최초 배치상태에서 공격 가능한 적의 한 쪽 측익을 주공이 통과하여 적 후방에 위치한 목표를 확보함으로서 적의 퇴로를 차단하고 현 진지에서 적을 격멸하는 기동형태를 가리킨다. 일익포위의 성공을 위해서는 주공이 적의 측익을 통과하여 목표지점을 확보할 때까지 여타 부대가 적 부대를 현 위치에 고착시켜 둘 필요가 있으며, 주공은 최대한 신속하게 적의 측익을 통과하여야 한다. 일익포위 작전의 예로는 제 1차 세계대전 직전에 수립되었던 독일군의 슐리펜 계획에 나타난 대프랑스 작전을 들 수 있다. 그러나 슐리펜의 사망 이후 제 1차 세계대전이 일어났을 때 슐리펜의 후임으로 독일군 육군 참모총장이 되어 작전을 총지휘한 몰트케는 슐리펜의 작전을 그대로 수행하지 않았고, 서부전선은 곧 교착상태에 빠졌다."
11773,자기기뢰,"감응방식에 따른 감응기뢰의 분류 중 한 가지. 표적의 자기장 변화를 감지하여 폭발하는 기뢰를 가리킨다. 모든 금속제의 함선은 일정한 세기의 자장을 가지고 있는데, 이로 인하여 함선이 기뢰 주변을 지나갈 때 형성되는 자기장의 변화를 감지하여 그 변화가 일정한 수치 이상이 되면 폭발하게 된다. 제 2차 세계대전 시기부터 사용되었으며, 사용되는 자기센서로는 자침형, 자기유도형, 자력계형 등이 있다."
